Posición [mm],Voltaje [V],Intensidad [lx],sd,Error intens
8.2,1.06,40800.0,10.64638,0.001811704107
8.4,1.06,40700.0,9.462401,0.001707996442
8.6,1.04,39900.0,9.042811,0.001669698335
8.8,0.971,37300.0,9.623048,0.001722434093
9.0,0.808,31000.0,9.990222,0.00175498681
9.1,0.689,26500.0,9.361984,0.001698909459
9.2,0.556,21400.0,9.11715,0.001676547403
9.3,0.419,16100.0,8.423473,0.001611505831
9.4,0.298,11500.0,7.782225,0.001548952781
9.6,0.115,4430.0,5.268601,0.001274482693
9.8,0.0264,1010.0,4.618618,0.001193279855
10.0,0.00213,81.7,4.094648,0.001123555613
10.2,0.000739,28.4,3.860073,0.00109089775
10.4,0.000765,29.4,3.860073,0.00109089775
