Longitud de onda [nm];Intensidad
2.463609009e+02;4.755594768e-03
2.465679626e+02;4.728688858e-03
2.467750549e+02;8.253344335e-03
2.469821472e+02;4.056044854e-03
2.471892548e+02;4.513442982e-03
2.473963928e+02;3.733175574e-03
2.476035309e+02;6.692809984e-03
2.478106995e+02;4.029138945e-03
2.480178833e+02;5.051558372e-03
2.482250671e+02;4.459631164e-03
2.484322815e+02;3.867704421e-03
2.486394958e+02;6.127789151e-03
2.488467407e+02;6.585186813e-03
2.490539856e+02;4.836312030e-03
2.492612610e+02;7.607606240e-03
2.494685516e+02;4.405819811e-03
2.496758423e+02;3.302683122e-03
2.498831635e+02;2.737662056e-03
2.500904999e+02;2.899096580e-03
2.502978363e+02;3.679363988e-03
2.505052032e+02;4.298196640e-03
2.507125854e+02;4.190573469e-03
2.509199829e+02;4.836312030e-03
2.511273804e+02;4.997746553e-03
2.513348083e+02;4.943935201e-03
2.515422516e+02;3.706269665e-03
2.517497101e+02;3.195060184e-03
2.519571686e+02;4.163668025e-03
2.521646576e+02;6.073977333e-03
2.523721619e+02;2.683850471e-03
2.525796814e+02;3.813892836e-03
2.527872162e+02;2.387887100e-03
2.529947510e+02;3.464117879e-03
2.532023163e+02;6.692809984e-03
2.534098969e+02;4.809406120e-03
2.536174927e+02;1.661431277e-03
2.538251038e+02;4.405819811e-03
2.540327301e+02;3.141248599e-03
2.542403717e+02;4.190573469e-03
2.544480286e+02;3.975327592e-03
2.546557007e+02;5.212992895e-03
2.548633881e+02;4.056044854e-03
2.550710754e+02;4.540348426e-03
2.552787933e+02;2.683850471e-03
2.554865265e+02;4.136762116e-03
2.556942749e+02;5.051558372e-03
2.559020386e+02;3.948421683e-03
2.561098328e+02;3.060531337e-03
2.563176270e+02;4.809406120e-03
2.565254211e+02;5.132275634e-03
2.567332458e+02;6.746621802e-03
2.569411011e+02;3.948421683e-03
2.571489563e+02;4.943935201e-03
2.573568115e+02;4.943935201e-03
2.575646973e+02;5.751108285e-03
2.577726135e+02;3.087437013e-03
2.579805298e+02;5.159181077e-03
2.581884460e+02;2.387887100e-03
2.583963928e+02;5.535861943e-03
2.586043701e+02;4.029138945e-03
2.588123474e+02;5.885636900e-03
2.590203247e+02;3.195060184e-03
2.592283325e+02;4.567254335e-03
2.594363708e+02;4.163668025e-03
2.596444092e+02;4.647971597e-03
2.598524475e+02;3.733175574e-03
2.600605469e+02;3.544835141e-03
2.602686157e+02;4.082950298e-03
2.604767151e+02;3.813892836e-03
2.606848450e+02;4.567254335e-03
2.608929749e+02;5.939448718e-03
2.611011047e+02;2.172640758e-03
2.613092651e+02;5.051558372e-03
2.615174561e+02;3.921515774e-03
2.617256470e+02;5.428238772e-03
2.619338684e+02;6.343035027e-03
2.621420898e+02;5.562767852e-03
2.623503113e+02;9.618812473e-04
2.625585632e+02;6.423752289e-03
2.627668457e+02;4.298196640e-03
2.629751282e+02;4.352007993e-03
2.631834106e+02;3.410306294e-03
2.633917542e+02;5.078463815e-03
2.636000671e+02;4.298196640e-03
2.638084106e+02;4.513442982e-03
2.640167847e+02;4.809406120e-03
2.642251587e+02;1.392373582e-03
2.644335327e+02;5.401333328e-03
2.646419373e+02;2.011206234e-03
2.648503723e+02;5.159181077e-03
2.650588074e+02;5.212992895e-03
2.652672729e+02;4.782500677e-03
2.654757385e+02;6.343035027e-03
2.656842041e+02;2.549321624e-03
2.658927002e+02;5.239898339e-03
2.661012268e+02;4.217479378e-03
2.663097534e+02;5.105369724e-03
2.665183105e+02;3.275777446e-03
2.667268677e+02;6.073977333e-03
2.669354248e+02;4.163668025e-03
2.671440125e+02;3.652458079e-03
2.673526306e+02;2.172640758e-03
2.675612488e+02;4.890123382e-03
2.677698975e+02;3.437211970e-03
2.679785461e+02;5.024652462e-03
2.681871948e+02;2.872190904e-03
2.683958740e+02;3.410306294e-03
2.686045837e+02;3.248871537e-03
2.688132935e+02;6.100883242e-03
2.690220337e+02;3.060531337e-03
2.692307739e+02;4.136762116e-03
2.694395142e+02;4.701782949e-03
2.696482849e+02;4.674877506e-03
2.698570862e+02;3.706269665e-03
2.700658875e+02;4.109856207e-03
2.702746887e+02;3.356494708e-03
2.704835205e+02;3.195060184e-03
2.706923828e+02;4.486537073e-03
2.709012451e+02;1.849771594e-03
2.711101379e+02;3.275777446e-03
2.713190308e+02;3.141248599e-03
2.715279236e+02;1.365467790e-03
2.717368469e+02;5.670391023e-03
2.719458008e+02;2.441698452e-03
2.721547546e+02;5.401333328e-03
2.723637085e+02;3.598646726e-03
2.725726929e+02;4.809406120e-03
2.727817078e+02;2.845284995e-03
2.729907227e+02;3.275777446e-03
2.731997375e+02;1.230938942e-03
2.734087830e+02;5.724202376e-03
2.736178589e+02;4.917029291e-03
2.738269348e+02;5.078463815e-03
2.740360107e+02;2.899096580e-03
2.742451172e+02;3.867704421e-03
2.744542542e+02;9.618812473e-04
2.746633911e+02;6.316129118e-03
2.748725281e+02;3.840798512e-03
2.750816956e+02;4.809406120e-03
2.752908936e+02;2.791473642e-03
2.755000916e+02;4.190573469e-03
2.757092896e+02;4.674877506e-03
2.759185181e+02;4.728688858e-03
2.761277771e+02;1.473090844e-03
2.763370361e+02;3.975327592e-03
2.765462952e+02;2.845284995e-03
2.767555847e+02;5.804919638e-03
2.769649048e+02;3.221965861e-03
2.771742249e+02;4.163668025e-03
2.773835449e+02;3.733175574e-03
2.775928955e+02;4.701782949e-03
2.778022461e+02;3.060531337e-03
2.780116272e+02;4.459631164e-03
2.782210388e+02;5.535861943e-03
2.784304504e+02;4.809406120e-03
2.786398621e+02;6.477564108e-03
2.788493042e+02;5.266804248e-03
2.790587463e+02;5.132275634e-03
2.792682190e+02;4.271290731e-03
2.794777222e+02;3.168154275e-03
2.796872253e+02;5.993260071e-03
2.798967285e+02;5.831825547e-03
2.801062622e+02;6.773527246e-03
2.803157959e+02;5.912542809e-03
2.805253601e+02;4.809406120e-03
2.807349243e+02;4.836312030e-03
2.809445190e+02;4.486537073e-03
2.811541443e+02;3.033625428e-03
2.813637390e+02;4.782500677e-03
2.815733948e+02;3.141248599e-03
2.817830505e+02;4.863217939e-03
2.819927063e+02;2.656944795e-03
2.822023926e+02;5.993260071e-03
2.824120789e+02;5.831825547e-03
2.826217957e+02;7.015679497e-03
2.828315125e+02;4.136762116e-03
2.830412598e+02;6.719715893e-03
2.832510071e+02;3.894610098e-03
2.834607849e+02;3.921515774e-03
2.836705627e+02;2.764567733e-03
2.838803711e+02;5.508956034e-03
2.840901794e+02;5.239898339e-03
2.843000183e+02;4.405819811e-03
2.845098572e+02;2.952908166e-03
2.847197266e+02;5.751108285e-03
2.849295959e+02;3.437211970e-03
2.851394958e+02;4.029138945e-03
2.853493958e+02;2.979813842e-03
2.855593262e+02;4.701782949e-03
2.857692566e+02;3.221965861e-03
2.859792175e+02;3.679363988e-03
2.861891785e+02;3.087437013e-03
2.863991394e+02;5.374427419e-03
2.866091614e+02;3.329589032e-03
2.868191528e+02;4.163668025e-03
2.870291748e+02;3.060531337e-03
2.872392273e+02;5.105369724e-03
2.874492798e+02;6.423752289e-03
2.876593628e+02;3.598646726e-03
2.878694458e+02;6.100883242e-03
2.880795288e+02;3.221965861e-03
2.882896423e+02;3.786986927e-03
2.884997864e+02;3.760081250e-03
2.887099304e+02;4.082950298e-03
2.889201050e+02;4.029138945e-03
2.891302795e+02;2.387887100e-03
2.893404541e+02;5.966354162e-03
2.895506592e+02;2.791473642e-03
2.897608948e+02;3.598646726e-03
2.899711304e+02;2.576227300e-03
2.901813660e+02;5.616579205e-03
2.903916321e+02;6.100883242e-03
2.906019287e+02;5.455144681e-03
2.908122253e+02;3.464117879e-03
2.910225220e+02;2.414792776e-03
2.912328491e+02;1.688337070e-03
2.914431763e+02;5.132275634e-03
2.916535339e+02;4.002233036e-03
2.918639221e+02;2.845284995e-03
2.920743103e+02;4.809406120e-03
2.922846985e+02;4.970840644e-03
2.924951172e+02;3.302683122e-03
2.927055359e+02;6.369940937e-03
2.929159851e+02;5.078463815e-03
2.931264343e+02;5.724202376e-03
2.933369141e+02;2.199546667e-03
2.935474243e+02;4.459631164e-03
2.937579041e+02;4.298196640e-03
2.939684448e+02;3.437211970e-03
2.941789856e+02;4.647971597e-03
2.943895264e+02;4.271290731e-03
2.946000977e+02;4.136762116e-03
2.948106689e+02;4.997746553e-03
2.950212708e+02;4.325102549e-03
2.952318726e+02;2.683850471e-03
2.954424744e+02;3.087437013e-03
2.956531372e+02;4.836312030e-03
2.958637695e+02;4.970840644e-03
2.960744629e+02;6.208506413e-03
2.962851257e+02;3.968600940e-04
2.964958191e+02;4.029138945e-03
2.967065430e+02;3.948421683e-03
2.969172668e+02;4.809406120e-03
2.971280212e+02;2.387887100e-03
2.973387756e+02;3.114342690e-03
2.975495300e+02;3.706269665e-03
2.977603149e+02;4.782500677e-03
2.979711304e+02;3.733175574e-03
2.981819458e+02;6.181600504e-03
2.983927917e+02;1.688337070e-03
2.986036377e+02;5.616579205e-03
2.988144836e+02;2.818379318e-03
2.990253601e+02;3.760081250e-03
2.992362671e+02;3.544835141e-03
2.994471741e+02;3.168154275e-03
2.996580811e+02;4.708509732e-05
2.998690186e+02;4.459631164e-03
3.000799561e+02;2.737662056e-03
3.002909241e+02;3.221965861e-03
3.005019226e+02;5.482050590e-03
3.007129211e+02;2.414792776e-03
3.009239197e+02;5.051558372e-03
3.011349487e+02;4.405819811e-03
3.013459778e+02;4.701782949e-03
3.015570374e+02;4.405819811e-03
3.017680969e+02;1.526902430e-03
3.019791870e+02;3.760081250e-03
3.021902771e+02;3.867704421e-03
3.024013977e+02;5.132275634e-03
3.026125183e+02;3.867704421e-03
3.028236694e+02;5.858731456e-03
3.030348206e+02;4.298196640e-03
3.032460022e+02;3.813892836e-03
3.034571838e+02;9.349754546e-04
3.036683960e+02;5.966354162e-03
3.038796082e+02;5.401333328e-03
3.040908508e+02;4.459631164e-03
3.043020935e+02;3.464117879e-03
3.045133667e+02;3.975327592e-03
3.047246399e+02;4.082950298e-03
3.049359131e+02;3.060531337e-03
3.051472168e+02;3.813892836e-03
3.053585510e+02;5.508956034e-03
3.055698853e+02;3.491023555e-03
3.057812195e+02;2.495510038e-03
3.059925842e+02;2.280263929e-03
3.062039795e+02;3.975327592e-03
3.064153748e+02;5.751108285e-03
3.066267700e+02;6.746621802e-03
3.068381958e+02;1.042598509e-03
3.070496521e+02;4.459631164e-03
3.072611084e+02;2.145735081e-03
3.074725647e+02;3.975327592e-03
3.076840515e+02;3.652458079e-03
3.078955383e+02;3.410306294e-03
3.081070557e+02;1.365467790e-03
3.083185730e+02;5.239898339e-03
3.085301208e+02;1.553808223e-03
3.087416687e+02;5.374427419e-03
3.089532471e+02;3.114342690e-03
3.091648254e+02;5.212992895e-03
3.093764343e+02;3.975327592e-03
3.095880432e+02;2.549321624e-03
3.097996826e+02;2.199546667e-03
3.100113220e+02;6.154694594e-03
3.102229919e+02;3.921515774e-03
3.104346619e+02;5.482050590e-03
3.106463623e+02;6.800433155e-03
3.108580627e+02;1.957394648e-03
3.110697632e+02;3.302683122e-03
3.112814941e+02;5.885636900e-03
3.114932556e+02;3.410306294e-03
3.117050171e+02;3.598646726e-03
3.119167786e+02;3.786986927e-03
3.121285706e+02;2.172640758e-03
3.123403931e+02;6.390120252e-04
3.125522156e+02;4.163668025e-03
3.127640381e+02;2.038111910e-03
3.129758911e+02;4.459631164e-03
3.131877747e+02;1.473090844e-03
3.133996277e+02;5.966354162e-03
3.136115417e+02;1.607619692e-03
3.138234558e+02;3.813892836e-03
3.140353699e+02;3.275777446e-03
3.142473145e+02;3.491023555e-03
3.144592590e+02;4.082950298e-03
3.146712341e+02;4.136762116e-03
3.148832092e+02;2.387887100e-03
3.150952148e+02;4.136762116e-03
3.153072205e+02;2.387887100e-03
3.155192566e+02;3.033625428e-03
3.157312927e+02;5.724202376e-03
3.159433289e+02;3.517929232e-03
3.161553955e+02;2.845284995e-03
3.163674927e+02;4.029138945e-03
3.165795898e+02;4.486537073e-03
3.167917175e+02;4.190573469e-03
3.170038452e+02;1.742148539e-03
3.172159729e+02;4.674877506e-03
3.174281311e+02;4.917029291e-03
3.176403198e+02;4.836312030e-03
3.178525085e+02;4.056044854e-03
3.180646973e+02;4.002233036e-03
3.182769165e+02;3.060531337e-03
3.184891357e+02;5.858731456e-03
3.187013855e+02;2.892370103e-04
3.189136658e+02;3.544835141e-03
3.191259155e+02;3.679363988e-03
3.193382263e+02;5.212992895e-03
3.195505066e+02;2.683850471e-03
3.197628479e+02;4.674877506e-03
3.199751587e+02;2.199546667e-03
3.201875305e+02;4.298196640e-03
3.203998718e+02;3.625552403e-03
3.206122437e+02;4.352007993e-03
3.208246460e+02;3.921515774e-03
3.210370483e+02;1.661431277e-03
3.212494812e+02;2.952908166e-03
3.214619141e+02;4.002233036e-03
3.216743469e+02;3.760081250e-03
3.218868408e+02;4.271290731e-03
3.220993042e+02;2.522415947e-03
3.223117981e+02;5.051558372e-03
3.225242920e+02;4.513442982e-03
3.227368164e+02;2.360981191e-03
3.229493713e+02;5.239898339e-03
3.231619263e+02;2.253358252e-03
3.233744812e+02;3.302683122e-03
3.235870667e+02;5.186086986e-03
3.237996521e+02;3.168154275e-03
3.240122681e+02;4.029138945e-03
3.242248840e+02;3.894610098e-03
3.244375305e+02;1.984300558e-03
3.246501770e+02;2.549321624e-03
3.248628540e+02;3.302683122e-03
3.250755310e+02;3.087437013e-03
3.252882385e+02;3.221965861e-03
3.255009460e+02;3.706269665e-03
3.257136841e+02;3.275777446e-03
3.259264221e+02;3.302683122e-03
3.261391602e+02;4.056044854e-03
3.263519287e+02;2.145735081e-03
3.265647278e+02;4.701782949e-03
3.267775269e+02;3.302683122e-03
3.269903259e+02;3.356494708e-03
3.272031555e+02;3.141248599e-03
3.274160156e+02;5.051558372e-03
3.276288452e+02;4.271290731e-03
3.278417358e+02;3.921515774e-03
3.280546265e+02;4.970840644e-03
3.282675171e+02;5.993260071e-03
3.284804382e+02;2.414792776e-03
3.286933594e+02;4.244385287e-03
3.289063110e+02;2.334075514e-03
3.291192627e+02;3.625552403e-03
3.293322449e+02;2.145735081e-03
3.295452271e+02;4.890123382e-03
3.297582092e+02;1.257844735e-03
3.299712219e+02;4.136762116e-03
3.301842651e+02;2.737662056e-03
3.303973083e+02;3.383400384e-03
3.306103821e+02;2.495510038e-03
3.308234558e+02;2.845284995e-03
3.310365295e+02;4.970840644e-03
3.312496338e+02;1.499996637e-03
3.314627380e+02;4.863217939e-03
3.316758728e+02;4.486537073e-03
3.318890381e+02;4.217479378e-03
3.321022034e+02;5.024652462e-03
3.323153687e+02;2.791473642e-03
3.325285645e+02;8.065003902e-03
3.327417603e+02;4.728688858e-03
3.329549866e+02;4.782500677e-03
3.331682129e+02;2.414792776e-03
3.333814392e+02;5.724202376e-03
3.335947266e+02;4.997746553e-03
3.338079834e+02;3.437211970e-03
3.340212708e+02;5.105369724e-03
3.342345886e+02;2.683850471e-03
3.344479065e+02;2.145735081e-03
3.346612244e+02;3.975327592e-03
3.348745728e+02;4.540348426e-03
3.350879517e+02;3.571740817e-03
3.353013306e+02;1.230938942e-03
3.355147095e+02;2.845284995e-03
3.357281189e+02;2.011206234e-03
3.359415283e+02;5.239898339e-03
3.361549683e+02;5.508956034e-03
3.363684082e+02;3.410306294e-03
3.365818787e+02;2.011206234e-03
3.367953491e+02;2.387887100e-03
3.370088501e+02;4.163668025e-03
3.372223511e+02;5.885636900e-03
3.374358826e+02;2.145735081e-03
3.376494141e+02;6.100883242e-03
3.378629761e+02;1.795960125e-03
3.380765381e+02;3.948421683e-03
3.382901001e+02;2.926002489e-03
3.385036926e+02;3.275777446e-03
3.387173157e+02;3.894610098e-03
3.389309387e+02;2.091923496e-03
3.391445618e+02;8.273523999e-04
3.393582153e+02;3.948421683e-03
3.395718689e+02;1.150221680e-03
3.397855530e+02;4.459631164e-03
3.399992371e+02;3.464117879e-03
3.402129517e+02;2.387887100e-03
3.404266663e+02;2.549321624e-03
3.406404114e+02;4.244385287e-03
3.408541565e+02;4.163668025e-03
3.410679321e+02;4.567254335e-03
3.412817078e+02;4.775774141e-04
3.414954834e+02;3.060531337e-03
3.417093201e+02;4.190573469e-03
3.419231262e+02;3.699543304e-04
3.421369629e+02;4.674877506e-03
3.423507996e+02;3.248871537e-03
3.425646667e+02;2.172640758e-03
3.427785645e+02;5.508956034e-03
3.429924622e+02;4.378913902e-03
3.432063599e+02;2.011206234e-03
3.434202881e+02;-1.082957257e-03
3.436342163e+02;2.899096580e-03
3.438481750e+02;3.275777446e-03
3.440621338e+02;3.813892836e-03
3.442761230e+02;5.044831778e-04
3.444901123e+02;5.401333328e-03
3.447041016e+02;1.230938942e-03
3.449181213e+02;4.217479378e-03
3.451321716e+02;4.513442982e-03
3.453462219e+02;3.221965861e-03
3.455602722e+02;4.029138945e-03
3.457743530e+02;4.943935201e-03
3.459884644e+02;3.302683122e-03
3.462025757e+02;4.190573469e-03
3.464166870e+02;2.872190904e-03
3.466308289e+02;4.271290731e-03
3.468449707e+02;2.441698452e-03
3.470591431e+02;4.997746553e-03
3.472733154e+02;1.553808223e-03
3.474875183e+02;5.105369724e-03
3.477017212e+02;2.468604362e-03
3.479159241e+02;5.670391023e-03
3.481301880e+02;2.253358252e-03
3.483444214e+02;3.733175574e-03
3.485586853e+02;3.087437013e-03
3.487729797e+02;4.890123382e-03
3.489872742e+02;3.840798512e-03
3.492015686e+02;3.410306294e-03
3.494158936e+02;5.159181077e-03
3.496302185e+02;3.491023555e-03
3.498445740e+02;3.760081250e-03
3.500589294e+02;1.903583179e-03
3.502733154e+02;2.656944795e-03
3.504877014e+02;6.262317766e-03
3.507021179e+02;2.656944795e-03
3.509165344e+02;4.917029291e-03
3.511309814e+02;1.876677386e-03
3.513454285e+02;4.352007993e-03
3.515598755e+02;3.430485667e-04
3.517743530e+02;6.047071423e-03
3.519888611e+02;3.706269665e-03
3.522033691e+02;2.468604362e-03
3.524178772e+02;3.329589032e-03
3.526324158e+02;4.567254335e-03
3.528469543e+02;1.419279375e-03
3.530615234e+02;3.760081250e-03
3.532760925e+02;2.118829405e-03
3.534906921e+02;4.647971597e-03
3.537052917e+02;4.701782949e-03
3.539199219e+02;3.410306294e-03
3.541345520e+02;5.482050590e-03
3.543492126e+02;4.082950298e-03
3.545638733e+02;3.464117879e-03
3.547785339e+02;5.401333328e-03
3.549932251e+02;3.840798512e-03
