Distance_(pixels),Gray_Value
0,1.8148
1,1.3333
2,1.0741
3,1.4074
4,1.5926
5,1.6667
6,1.6667
7,1.6667
8,1.6667
9,1.6667
10,1.6667
11,1.0000
12,1.0000
13,1.0000
14,1.0000
15,1.0000
16,1.0000
17,1.0000
18,1.0000
19,1.0000
20,1.0000
21,1.0000
22,1.5926
23,1.8148
24,2.8889
25,2.8889
26,2.8889
27,3.0000
28,3.0000
29,3.0370
30,3.0000
31,3.0000
32,3.0000
33,3.0370
34,3.0741
35,3.7037
36,4.8148
37,3.9630
38,5.1111
39,7.6296
40,6.0370
41,9.9630
42,21.4444
43,37.8519
44,57.0000
45,72.5926
46,74.0000
47,68.7778
48,64.3704
49,57.2963
50,48.4815
51,42.6296
52,35.5556
53,37.8148
54,51.8519
55,68.9630
56,80.0741
57,73.1481
58,51.4815
59,29.4444
60,17.0741
61,9.6667
62,5.8148
63,4.8889
64,3.1481
65,2.2593
66,2.8148
67,1.4074
68,1.0000
69,1.0000
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,1.0000
76,1.0000
77,1.0000
78,1.0000
79,1.0000
80,1.0000
81,1.0000
82,1.0000
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,1.0000
99,1.0000
100,1.0000
101,1.0000
102,1.0000
103,1.0000
104,1.0000
105,1.0000
106,1.0000
107,1.0000
108,1.0000
109,1.0000
110,1.0000
111,1.0000
112,1.0000
113,1.0000
114,1.0000
115,1.0000
116,1.0000
117,1.0000
118,1.0000
119,1.0000
120,1.0000
121,1.0000
122,1.0000
123,1.0000
124,1.0000
125,1.0000
126,1.0000
127,1.0000
128,1.0000
129,1.0000
130,1.0000
131,1.0000
132,1.0000
133,1.0000
134,1.0000
135,1.0000
136,1.0000
137,1.0000
138,1.0000
139,1.0000
140,1.0000
141,1.0000
142,1.0000
143,1.0000
144,1.0000
145,1.0000
146,1.0000
147,1.0000
148,1.0000
149,1.0000
150,1.0000
151,1.0000
152,1.0000
153,1.0000
154,1.0000
155,1.0000
156,1.0000
157,1.0000
158,1.0000
159,1.0000
160,1.0000
161,1.0000
162,1.0000
163,1.0370
164,1.1111
165,1.1111
166,1.1111
167,1.1481
168,1.1481
169,1.1481
170,1.1481
171,1.1481
172,1.1481
173,1.1481
174,1.1852
175,1.1852
176,1.1852
177,1.1852
178,1.1852
179,1.1481
180,1.0000
181,1.0000
182,1.0000
183,1.0000
184,1.0000
185,1.0000
186,1.0000
187,1.0000
188,1.0000
189,1.0000
190,1.0000
191,1.0000
192,1.0000
193,1.0000
194,1.0000
195,1.0000
196,1.0000
197,1.0000
198,1.0000
199,1.0000
200,1.0000
201,1.0000
202,1.0000
203,1.0000
204,1.0000
205,1.0000
206,1.0000
207,1.0000
208,1.0000
209,1.0000
210,1.0000
211,1.1111
212,1.3704
213,1.3704
214,1.3704
215,1.3704
216,1.3704
217,1.4074
218,1.4074
219,1.4074
220,1.4074
221,1.4074
222,1.4074
223,1.4074
224,1.4444
225,1.4444
226,1.4444
227,1.4444
228,1.4444
229,1.4444
230,1.4444
231,1.4815
232,1.4815
233,1.4815
234,1.4815
235,1.4815
236,1.4815
237,1.4815
238,1.5185
239,1.5185
240,1.5185
241,1.5185
242,1.5185
243,1.5185
244,1.5185
245,1.5556
246,1.5556
247,1.5556
248,1.5556
249,1.5556
250,1.5556
251,1.5556
252,1.5926
253,1.5926
254,1.5926
255,1.5926
256,1.5926
257,1.5926
258,1.5926
259,1.6296
260,1.6667
261,1.6667
262,1.6667
263,1.6667
264,1.6667
265,1.6667
266,1.6667
267,1.6667
268,1.6667
269,1.6667
270,1.6667
271,1.6667
272,1.6667
273,1.6667
274,1.6667
275,1.8148
276,2.0000
277,2.0000
278,2.0000
279,2.0000
280,2.0000
281,2.0000
282,2.0000
283,2.0000
284,2.0000
285,2.0000
286,2.0000
287,2.0000
288,2.0000
289,2.0000
290,2.0000
291,1.8519
292,1.5185
293,1.4815
294,1.4815
295,1.5185
296,1.5556
297,1.5556
298,1.5556
299,1.5556
300,1.5556
301,1.5556
302,1.5556
303,1.5926
304,1.5926
305,1.5926
306,1.5926
307,1.6667
308,1.9630
309,1.9630
310,2.0000
311,2.0000
312,2.0000
313,2.0000
314,2.0000
315,2.0000
316,2.0000
317,2.0370
318,2.0370
319,2.0370
320,2.0370
321,2.0741
322,2.0741
323,2.1852
324,2.5926
325,2.7778
326,2.8148
327,2.8148
328,2.8148
329,2.8148
330,2.8148
331,2.9259
332,3.4815
333,3.4815
334,3.4815
335,3.5556
336,3.5556
337,3.5556
338,3.5926
339,3.5556
340,3.3704
341,3.2963
342,3.7407
343,3.7778
344,4.1481
345,4.2963
