Distance_(pixels),Gray_Value
346,4.4444
347,4.6296
348,5.8889
349,6.0370
350,6.5556
351,6.5926
352,6.8148
353,6.9630
354,7.1481
355,7.2593
356,7.3333
357,7.7778
358,8.2963
359,9.0741
360,10.0370
361,11.1481
362,12.0741
363,13.1852
364,15.1481
365,15.9630
366,17.3333
367,18.4815
368,19.8889
369,20.9259
370,21.8519
371,23.6667
372,27.2593
373,29.8889
374,32.5926
375,35.3333
376,37.9630
377,39.9630
378,41.5556
379,42.6296
380,43.3333
381,44.1111
382,44.8148
383,45.2222
384,45.4444
385,45.7778
386,46.1111
387,46.1111
388,47.0000
389,46.8519
390,46.5556
391,45.9630
392,45.4815
393,44.6296
394,43.8889
395,42.9259
396,40.8148
397,39.4815
398,37.7407
399,35.7037
400,34.0370
401,32.2593
402,30.9259
403,28.7778
404,24.3333
405,22.5556
406,22.1481
407,21.2593
408,20.4074
409,19.1111
410,18.0741
411,16.8519
412,15.2593
413,14.0370
414,12.5556
415,11.5556
416,11.2963
417,12.0370
418,13.3704
419,14.0741
420,13.6667
421,13.4444
422,13.4074
423,13.4444
424,14.5185
425,15.7407
426,17.3704
427,18.1111
428,16.9630
429,17.0370
430,18.4074
431,19.7037
432,20.7778
433,21.4074
434,21.6296
435,20.6667
436,21.5185
437,20.8148
438,20.9259
439,21.1852
440,21.7037
441,22.6667
442,23.5185
443,24.0000
444,23.4444
445,23.5926
446,23.7407
447,23.9259
448,24.9630
449,25.4444
450,26.0370
451,26.1852
452,25.5556
453,25.1852
454,25.5556
455,26.2222
456,27.6296
457,27.9259
458,27.3333
459,26.9259
460,26.3704
461,27.0741
462,28.5926
463,28.7778
464,28.0741
465,27.2593
466,27.0741
467,27.6296
468,27.9259
469,28.2593
470,28.5926
471,29.1111
472,29.9259
473,31.2963
474,32.7037
475,33.8519
476,37.7407
477,37.7037
478,38.1481
479,39.0741
480,40.3704
481,41.6667
482,42.0000
483,42.6296
484,40.1852
485,39.7778
486,39.8148
487,40.8148
488,42.7778
489,44.7778
490,45.4815
491,45.3704
492,45.1111
493,44.7037
494,44.4815
495,44.1481
496,44.3333
497,45.0741
498,45.9259
499,46.8519
500,48.4815
501,47.1481
502,45.6667
503,44.5185
504,44.2963
505,44.1481
506,43.1852
507,41.7778
508,41.5926
509,41.9259
510,42.3333
511,42.4815
512,41.9259
513,41.2222
514,39.9630
515,39.2963
516,39.5926
517,39.8889
518,39.6667
519,38.9259
520,37.7778
521,36.2222
522,34.9259
523,34.1111
524,33.0000
525,32.2593
526,30.7407
527,29.6296
528,28.8519
529,28.0741
530,28.0000
531,28.0000
532,26.5556
533,24.8519
534,23.5556
535,22.2593
536,21.2222
537,20.2963
538,19.0741
539,17.7407
540,17.0370
541,16.1481
542,15.1852
543,13.8148
544,12.5926
545,11.2593
546,9.9259
547,9.2963
548,7.1852
549,6.0000
550,5.6296
551,5.0370
552,4.5185
553,3.9630
554,3.3333
555,2.8889
556,1.8519
557,1.2222
558,1.4815
559,1.5556
560,1.5556
561,1.5556
562,1.5556
563,1.5556
564,1.4444
565,1.0000
566,1.0000
567,1.0000
568,1.0000
569,1.0000
570,1.0000
571,1.0000
572,1.0000
573,1.0000
574,1.0000
575,1.0000
576,1.0000
577,1.0000
578,1.0000
579,1.0000
580,1.0000
581,1.0000
582,1.0000
583,1.0000
584,1.0000
