Distance_(pixels),Gray_Value
0,1.0000
1,1.0000
2,1.0741
3,1.7778
4,1.8889
5,1.9259
6,1.9259
7,1.9259
8,1.9259
9,1.9259
10,1.9259
11,1.9259
12,1.9259
13,1.9259
14,1.9259
15,1.9259
16,1.9259
17,1.9259
18,1.9259
19,1.3704
20,1.3704
21,1.3704
22,1.9630
23,1.9630
24,2.8519
25,2.8519
26,2.8519
27,2.1111
28,2.1111
29,2.1111
30,2.0741
31,2.0741
32,2.0741
33,2.0370
34,2.3333
35,3.4815
36,3.5926
37,4.1111
38,5.7407
39,5.4074
40,6.1481
41,11.1481
42,19.1852
43,38.7778
44,56.3333
45,63.7407
46,60.6667
47,58.3333
48,54.2963
49,47.7037
50,44.2963
51,42.6296
52,41.8519
53,41.8148
54,41.5556
55,38.2222
56,30.5926
57,21.2222
58,12.8519
59,6.6296
60,3.1852
61,0.9630
62,0.6296
63,0.9259
64,0.9259
65,0.9630
66,0.5185
67,0.9630
68,1.0000
69,1.0000
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,1.0000
76,1.0000
77,1.0000
78,1.0000
79,1.0000
80,1.0000
81,1.0000
82,1.0000
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,1.0000
99,1.0000
100,1.0000
101,1.0000
102,1.0000
103,1.0000
104,1.0000
105,1.0000
106,1.0000
107,1.0000
108,1.0000
109,1.0000
110,1.0000
111,1.0000
112,1.0000
113,1.0000
114,1.0000
115,1.0000
116,1.0000
117,1.0000
118,1.0000
119,1.0000
120,1.0000
121,1.0000
122,1.0000
123,1.0000
124,1.0000
125,1.0000
126,1.0000
127,1.0000
128,1.0000
129,1.0000
130,1.0000
131,1.0000
132,1.0000
133,1.0000
134,1.0000
135,1.0000
136,1.0000
137,1.0000
138,1.0000
139,1.0000
140,1.0000
141,1.0000
142,1.0000
143,1.0000
144,1.0000
145,1.0000
146,1.0000
147,1.0000
148,1.0000
149,1.0000
150,1.0000
151,1.0000
152,1.0000
153,1.0000
154,1.0000
155,1.0000
156,1.0000
157,1.0000
158,1.0000
159,1.0000
160,1.0000
161,1.0000
162,1.0000
163,1.0000
164,1.0000
165,1.0000
166,1.0000
167,1.0000
168,1.0000
169,1.0000
170,1.0000
171,1.0000
172,1.0000
173,1.0000
174,1.0000
175,1.0000
176,1.0000
177,1.0000
178,1.0000
179,1.0000
180,1.0000
181,1.0000
182,1.0000
183,1.0000
184,1.0000
185,1.0000
186,1.0000
187,1.0000
188,1.0000
189,1.0000
190,1.0000
191,1.0000
192,1.0000
193,1.0000
194,1.0000
195,1.0000
196,1.0000
197,1.0000
198,1.0000
199,1.0000
200,1.0000
201,1.0000
202,1.0000
203,1.0000
204,1.0000
205,1.0000
206,1.0000
207,1.0000
208,1.0000
209,1.0000
210,1.0000
211,1.0000
212,1.0000
213,1.0000
214,1.0000
215,1.0000
216,1.0000
217,1.0000
218,1.0000
219,1.0000
220,1.0000
221,1.0000
222,1.0000
223,1.0000
224,1.0000
225,1.0000
226,1.0000
227,1.0000
228,1.0000
229,1.0000
230,1.0000
231,1.0000
232,1.0000
233,1.0000
234,1.0000
235,1.0000
236,1.0000
237,1.0000
238,1.0000
239,1.0000
240,1.0000
241,1.0000
242,1.0000
243,1.1481
244,1.5185
245,1.5556
246,1.5556
247,1.5556
248,1.5556
249,1.5556
250,1.5556
251,1.5556
252,1.5926
253,1.5926
254,1.5926
255,1.5926
256,1.5926
257,1.5926
258,1.5926
259,1.6296
260,1.6296
261,1.6296
262,1.6296
263,1.6296
264,1.6296
265,1.6296
266,1.6296
267,1.6667
268,1.6667
269,1.6667
270,1.6667
271,1.6667
272,1.6667
273,1.6667
274,1.6667
275,1.6667
276,1.6667
277,1.6667
278,1.6667
279,1.6667
280,1.6667
281,1.6667
282,1.6667
283,1.6667
284,1.6667
285,1.6667
286,1.6667
287,1.6667
288,1.6667
289,1.6667
290,1.6667
291,1.6667
292,1.6667
293,1.6667
294,1.6667
295,1.6667
296,1.6667
297,1.6667
298,1.6667
299,1.6667
300,1.6667
301,1.6667
302,1.6667
303,1.6667
304,1.6667
305,1.6667
306,1.6667
307,1.8148
308,2.0000
309,2.0000
310,2.0000
311,2.0000
312,2.0000
313,2.0000
314,2.0000
315,2.0000
316,2.0000
317,2.0000
318,2.0000
319,2.0000
320,2.0000
321,2.0000
322,2.0000
323,1.8889
324,1.7037
325,1.7037
326,1.7037
327,1.7037
328,1.7037
329,1.7037
330,1.7037
331,1.7407
332,1.7407
333,1.7407
334,1.7407
335,1.7407
336,1.7407
337,1.7407
338,1.7778
339,2.0370
340,2.3704
341,2.5926
342,2.5926
343,2.5926
344,2.5926
345,2.5926
346,2.6667
347,2.6667
348,2.6667
349,2.6667
350,2.6667
351,2.6667
352,2.6667
353,2.7407
354,2.7407
355,2.5556
356,3.1111
357,3.0741
358,3.2963
359,3.4444
360,3.6667
361,3.6667
362,3.8889
363,4.0370
364,4.8148
365,5.1111
366,5.3704
367,5.5926
368,5.8148
369,5.8889
370,6.1852
371,5.8889
372,5.5185
373,5.2963
374,5.5185
375,5.4074
376,5.6667
377,5.4815
378,6.0370
379,5.6667
380,5.0000
381,5.0000
382,5.4074
383,5.6667
384,6.2222
385,6.2593
386,6.8889
387,6.5926
388,5.5926
389,5.2963
390,5.0000
391,3.8889
392,3.5185
393,2.4074
394,2.1111
395,2.0741
396,2.4074
397,2.3704
398,1.8519
399,1.8519
400,1.7778
401,1.7407
402,1.3704
403,1.2593
404,0.8889
405,0.7778
406,0.7778
407,0.7778
408,0.7778
409,0.7778
410,0.7778
411,0.7778
412,1.0000
413,1.0000
414,1.0000
415,1.0000
416,1.0000
417,1.0000
418,1.0000
419,1.0000
420,0.7778
421,0.7037
422,0.8519
423,0.8519
424,0.8519
425,1.1111
426,1.1481
427,1.1481
428,2.7037
429,2.1481
430,2.1481
431,1.1852
432,1.1852
433,1.3333
434,1.3333
435,1.7778
436,1.5556
437,2.5556
438,2.2593
439,2.4074
440,3.0741
441,3.2963
442,3.4074
443,4.1852
444,2.5185
445,2.0741
446,2.2222
447,2.1481
448,2.5556
449,2.7778
450,2.8148
451,2.8519
452,3.4815
453,3.8519
454,4.0741
455,4.0370
456,4.3704
457,4.2593
458,4.5556
459,4.3704
460,4.9630
461,5.5926
462,6.5556
463,7.6296
464,8.8889
465,9.4444
466,9.8148
467,9.4815
468,9.8148
469,10.0000
470,10.3704
471,11.2222
472,11.5926
473,11.9630
