Distance_(pixels),Gray_Value
474,12.4444
475,12.6667
476,12.7778
477,13.0741
478,13.9630
479,15.5185
480,17.1481
481,18.5185
482,20.2222
483,20.8889
484,21.1852
485,22.5185
486,23.9630
487,25.4815
488,26.6296
489,27.2593
490,27.5185
491,27.6667
492,29.5556
493,32.7037
494,35.5556
495,34.8519
496,33.8889
497,35.0741
498,35.9259
499,35.6296
500,34.9630
501,36.4444
502,37.2222
503,36.9630
504,36.0000
505,35.1481
506,35.8519
507,36.8148
508,37.3704
509,36.6296
510,35.6667
511,35.8519
512,36.7037
513,36.9630
514,36.1111
515,34.8148
516,34.6667
517,34.0741
518,33.3333
519,33.2222
520,33.5556
521,32.8889
522,31.4444
523,29.8889
524,28.9630
525,28.7778
526,28.4444
527,27.9630
528,27.5185
529,27.0000
530,26.5926
531,26.6296
532,26.1111
533,24.4815
534,22.7778
535,20.9259
536,19.5556
537,17.9630
538,15.7037
539,13.7407
540,12.2963
541,11.7037
542,11.2593
543,10.7778
544,10.4074
545,9.6296
546,8.8519
547,8.2963
548,6.2593
549,5.1481
550,4.1481
551,3.7407
552,3.6296
553,3.6296
554,3.1481
555,2.2963
556,1.0000
557,0.8148
558,0.7778
559,0.6667
560,0.6667
561,0.6667
562,0.7778
563,0.8148
564,0.8519
565,1.0000
566,1.0000
567,1.0000
568,1.0000
569,1.0000
570,1.0000
571,1.0000
572,1.0000
573,1.0000
574,1.0000
575,1.0000
576,1.0000
577,1.0000
578,1.0000
579,1.0000
580,1.0000
581,1.0000
582,1.0000
583,1.0000
584,1.0000
