Distance_(pixels),Gray_Value
0,1.0000
1,1.0000
2,1.0000
3,1.0000
4,1.0000
5,1.0000
6,1.0000
7,1.0000
8,1.0000
9,1.0000
10,1.0000
11,1.7407
12,1.7407
13,1.7407
14,1.7407
15,1.7407
16,1.7037
17,1.7037
18,1.6667
19,1.7407
20,1.7407
21,1.7407
22,1.8148
23,1.9630
24,2.1481
25,2.1481
26,2.1481
27,2.0370
28,2.1852
29,2.9259
30,3.3704
31,3.3704
32,3.1852
33,2.5926
34,2.1111
35,2.0000
36,2.5185
37,3.3333
38,4.0741
39,5.8519
40,7.0741
41,8.2222
42,11.3704
43,26.8519
44,45.0741
45,69.8889
46,79.7037
47,65.7407
48,49.3333
49,48.0000
50,56.4815
51,73.9259
52,81.4815
53,69.1852
54,45.0000
55,29.1111
56,16.5556
57,6.4444
58,3.4074
59,3.4444
60,3.1481
61,2.5185
62,1.2963
63,1.1111
64,1.0000
65,1.7037
66,2.0000
67,1.8148
68,1.1481
69,1.0000
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,1.0000
76,1.0000
77,1.0000
78,1.0000
79,1.0000
80,1.0000
81,1.0000
82,1.0000
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,1.0000
99,1.0000
100,1.0000
101,1.0000
102,1.0000
103,1.0000
104,1.0000
105,1.0000
106,1.0000
107,1.0000
108,1.0000
109,1.0000
110,1.0000
111,1.0000
112,1.0000
113,1.0000
114,1.0000
115,1.0000
116,1.0000
117,1.0000
118,1.0000
119,1.0000
120,1.0000
121,1.0000
122,1.0000
123,1.0000
124,1.0000
125,1.0000
126,1.0000
127,1.0000
128,1.0000
129,1.0000
130,1.0000
131,1.0000
132,1.0000
133,1.0000
134,1.0000
135,1.0000
136,1.0000
137,1.0000
138,1.0000
139,1.0000
140,1.0000
141,1.0000
142,1.0000
143,1.0000
144,1.0000
145,1.0000
146,1.0000
147,1.0000
148,1.0000
149,1.0000
150,1.0000
151,1.0000
152,1.0000
153,1.0000
154,1.0000
155,1.0000
156,1.0000
157,1.0000
158,1.0000
159,1.0000
160,1.0000
161,1.0000
162,1.0000
163,1.0000
164,1.0000
165,1.0000
166,1.0000
167,1.0000
168,1.0000
169,1.0000
170,1.0000
171,1.0000
172,1.0000
173,1.0000
174,1.0000
175,1.0000
176,1.0000
177,1.0000
178,1.0000
179,1.0000
180,1.0000
181,1.0000
182,1.0000
183,1.0000
184,1.0000
185,1.0000
186,1.0000
187,1.0000
188,1.0000
189,1.0000
190,1.0000
191,1.0000
192,1.0000
193,1.0000
194,1.0000
195,1.0000
196,1.0000
197,1.0000
198,1.0000
199,1.0000
200,1.0000
201,1.0000
202,1.0000
203,1.0000
204,1.0000
205,1.0000
206,1.0000
207,1.0000
208,1.0000
209,1.0000
210,1.0000
211,1.0000
212,1.0000
213,1.0000
214,1.0000
215,1.0000
216,1.0000
217,1.0000
218,1.0000
219,1.0000
220,1.0000
221,1.0000
222,1.0000
223,1.0000
224,1.0000
225,1.0000
226,1.0000
227,1.1111
228,1.4444
229,1.4444
230,1.4444
231,1.4815
232,1.4815
233,1.4815
234,1.4815
235,1.4815
236,1.4815
237,1.4815
238,1.5185
239,1.5185
240,1.5185
241,1.5185
242,1.5185
243,1.5185
244,1.5185
245,1.5556
246,1.5556
247,1.5556
248,1.5556
249,1.5556
250,1.5556
251,1.5556
252,1.5926
253,1.5926
254,1.5926
255,1.5926
256,1.5926
257,1.5926
258,1.5926
259,1.6296
260,1.6667
261,1.6667
262,1.6667
263,1.6667
264,1.6667
265,1.6667
266,1.6667
267,1.6667
268,1.6667
269,1.6667
270,1.6667
271,1.6667
272,1.6667
273,1.6667
274,1.6667
275,1.6296
276,1.3333
277,1.3333
278,1.3333
279,1.3333
280,1.3333
281,1.3333
282,1.3333
283,1.3333
284,1.3333
285,1.3333
286,1.3333
287,1.3333
288,1.3333
289,1.3333
290,1.3333
291,1.2963
292,1.4815
293,1.4815
294,1.4815
295,1.5185
296,1.5556
297,1.5556
298,1.5556
299,1.5556
300,1.5556
301,1.5556
302,1.5556
303,1.5926
304,1.5926
305,1.5926
306,1.5926
307,1.6667
308,1.9630
309,1.9630
310,2.0000
311,2.0000
312,2.0000
313,2.0000
314,2.0000
315,2.0000
316,2.0000
317,2.0370
318,2.0370
319,2.0370
320,2.0370
321,2.0741
322,2.0741
323,2.0000
324,1.9630
325,2.0000
326,2.0741
327,2.0741
328,2.1481
329,2.2222
330,2.3704
331,2.4815
332,2.5926
333,2.5926
334,2.7407
335,2.7407
336,2.8889
337,2.8889
338,2.9630
339,2.8148
340,3.2963
341,3.1111
342,3.3333
343,3.4815
344,3.5926
345,3.6667
346,3.7407
347,3.7407
348,4.0000
349,4.1852
350,4.2222
351,4.2222
352,4.2593
353,4.3704
354,4.4074
355,4.5185
356,5.1481
357,5.1481
358,5.3704
359,5.4074
360,5.7407
361,6.0741
362,6.3333
363,6.8148
364,8.2593
365,8.8889
366,9.8519
367,11.0741
368,11.8889
369,12.9259
370,13.9259
371,14.7407
372,17.7407
373,19.3333
374,20.8889
375,22.1111
376,24.4074
377,25.8148
378,27.5556
379,28.7037
380,30.0000
381,30.4815
382,30.9259
383,30.7778
384,30.8889
385,30.4815
386,30.4815
387,30.2963
388,29.6667
389,28.9630
390,28.4074
391,27.3333
392,26.1852
393,24.8148
394,23.7407
395,22.1481
396,18.8519
397,17.0370
398,15.6667
399,14.2222
400,12.6667
401,11.2963
402,10.5926
403,8.7778
404,6.2222
405,5.1481
406,5.1111
407,4.8148
408,4.3704
409,4.1111
410,3.8148
411,3.6667
412,2.6296
413,2.7407
414,2.9259
415,3.0370
416,3.2593
417,3.5556
418,3.4444
419,3.4444
420,2.4074
421,2.6667
422,3.2222
423,3.7778
424,3.9630
425,4.2222
426,4.0000
427,3.7407
428,3.9259
429,4.4444
430,5.0741
431,5.9259
432,6.6667
433,7.4815
434,8.0741
435,8.4074
436,7.4074
437,7.2593
438,7.6667
439,7.8148
440,8.1481
441,8.5556
442,8.7778
443,8.8889
444,9.8889
445,10.8889
446,11.7037
447,11.8148
448,11.8148
449,11.6667
450,12.3333
451,12.7037
452,12.2963
453,12.6296
454,13.0741
455,13.5926
456,14.2222
457,14.6667
458,15.1852
459,15.6667
460,16.2222
461,16.6296
462,17.7407
463,18.2222
464,18.4815
465,18.5556
466,19.7407
467,21.0370
468,20.1481
469,20.0370
470,20.5556
471,20.6296
472,20.5185
473,21.4815
