Distance_(pixels),Gray_Value
0,1.6667
1,1.6667
2,1.5926
3,0.8889
4,0.7778
5,1.0000
6,1.0000
7,1.0000
8,1.0000
9,1.0000
10,1.0000
11,1.6667
12,1.7778
13,1.7778
14,1.7778
15,1.8148
16,1.8148
17,1.8148
18,1.8519
19,2.0000
20,2.0370
21,2.0370
22,2.1481
23,2.1111
24,2.1852
25,2.1852
26,2.1852
27,2.0370
28,2.0370
29,2.5185
30,3.2593
31,3.2593
32,3.2593
33,4.1111
34,4.0000
35,3.2222
36,3.4074
37,3.5185
38,3.5926
39,4.4074
40,4.5185
41,5.4444
42,7.8889
43,14.0741
44,26.6667
45,51.7778
46,68.4444
47,62.3333
48,49.8889
49,43.5556
50,41.1111
51,45.8519
52,58.8148
53,68.2593
54,71.7407
55,70.8148
56,56.1111
57,33.4444
58,18.2593
59,9.1481
60,5.0370
61,2.8889
62,1.5926
63,1.3333
64,1.0000
65,2.0000
66,2.3704
67,1.5185
68,1.0000
69,1.0000
70,1.0000
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,1.5556
76,1.0000
77,1.0000
78,1.0000
79,0.4444
80,0.4444
81,0.4444
82,0.4444
83,1.0000
84,1.0000
85,1.0000
86,1.0000
87,1.0000
88,1.0000
89,1.0000
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,1.0000
99,1.4815
100,1.6667
101,1.6667
102,1.6667
103,1.6667
104,1.6667
105,1.6667
106,1.6667
107,1.6667
108,1.6667
109,1.6667
110,1.6667
111,1.6667
112,1.6667
113,1.6667
114,1.6667
115,1.6667
116,1.6667
117,1.6667
118,1.6667
119,1.6667
120,1.6667
121,1.6667
122,1.6667
123,1.6667
124,1.6667
125,1.6667
126,1.6667
127,1.6667
128,1.6667
129,1.6667
130,1.6667
131,1.2222
132,1.0000
133,1.0000
134,1.0000
135,1.0000
136,1.0000
137,1.0000
138,1.0000
139,1.0000
140,1.0000
141,1.0000
142,1.0000
143,1.0000
144,1.0000
145,1.0000
146,1.0000
147,1.0000
148,1.0000
149,1.0000
150,1.0000
151,1.0000
152,1.0000
153,1.0000
154,1.0000
155,1.0000
156,1.0000
157,1.0000
158,1.0000
159,1.0000
160,1.0000
161,1.0000
162,1.0000
163,1.0000
164,1.0000
165,1.0000
166,1.0000
167,1.0000
168,1.0000
169,1.0000
170,1.0000
171,1.0000
172,1.0000
173,1.0000
174,1.0000
175,1.0000
176,1.0000
177,1.0000
178,1.0000
179,1.0000
180,1.0000
181,1.0000
182,1.0000
183,1.0000
184,1.0000
185,1.0000
186,1.0000
187,1.0000
188,1.0000
189,1.0000
190,1.0000
191,1.0000
192,1.0000
193,1.0000
194,1.0000
195,1.0000
196,1.0000
197,1.0000
198,1.0000
199,1.0000
200,1.0000
201,1.0000
202,1.0000
203,1.0000
204,1.0000
205,1.0000
206,1.0000
207,1.0000
208,1.0000
209,1.0000
210,1.0000
211,1.0000
212,1.0000
213,1.0000
214,1.0000
215,1.0000
216,1.0000
217,1.0000
218,1.0000
219,1.0000
220,1.0000
221,1.0000
222,1.0000
223,1.0000
224,1.0000
225,1.0000
226,1.0000
227,1.1111
228,1.4444
229,1.4444
230,1.4444
231,1.4815
232,1.4815
233,1.4815
234,1.4815
235,1.4815
236,1.4815
237,1.4815
238,1.5185
239,1.5185
240,1.5185
241,1.5185
242,1.5185
243,1.5185
244,1.5185
245,1.5556
246,1.5556
247,1.5556
248,1.5556
249,1.5556
250,1.5556
251,1.5556
252,1.5926
253,1.5926
254,1.5926
255,1.5926
256,1.5926
257,1.5926
258,1.5926
259,1.6296
260,1.6296
261,1.6296
262,1.6296
263,1.6296
264,1.6296
265,1.6296
266,1.6296
267,1.6667
268,1.6667
269,1.6667
270,1.6667
271,1.6667
272,1.6667
273,1.6667
274,1.6667
275,1.6296
276,1.3333
277,1.3333
278,1.3333
279,1.3333
280,1.3333
281,1.3333
282,1.3333
283,1.3333
284,1.3333
285,1.3333
286,1.3333
287,1.3333
288,1.3333
289,1.3333
290,1.3333
291,1.4815
292,2.0000
293,2.0000
294,2.0000
295,2.0000
296,2.0000
297,2.0000
298,2.0000
299,2.0000
300,2.0000
301,2.0000
302,2.0000
303,2.0000
304,2.0000
305,2.0000
306,2.0000
307,1.9630
308,2.0000
309,2.0000
310,2.0000
311,2.0370
312,2.0370
313,2.0370
314,2.0370
315,2.1111
316,2.0000
317,2.0370
318,2.0370
319,2.0370
320,2.0370
321,2.0741
322,2.0741
323,2.0741
324,2.1111
325,2.1111
326,2.1111
327,2.1111
328,2.1111
329,2.1111
330,2.1111
331,2.1111
332,2.1111
333,2.1111
334,2.1111
335,2.1481
336,2.1481
337,2.1481
338,2.1481
339,2.1481
340,3.1481
341,3.2593
342,3.2593
343,3.2593
344,3.2593
345,3.2593
346,3.3333
347,3.3333
348,3.3333
349,3.4444
350,3.4444
351,3.4444
352,3.4444
353,3.5185
354,3.5185
355,3.5185
356,3.6296
357,3.6296
358,3.8148
359,3.9259
360,4.2593
361,4.4815
362,4.8519
363,5.5556
364,6.1481
365,6.7037
366,6.9630
367,7.6667
368,8.3333
369,9.1481
370,9.5926
371,10.0000
372,10.7407
373,11.2963
374,12.3333
375,13.1111
376,14.5185
377,15.7778
378,16.8148
379,17.5185
380,18.4444
381,18.8889
382,19.1481
383,19.0741
384,19.2963
385,19.0741
386,19.3333
387,19.2593
388,17.8148
389,17.1852
390,17.0741
391,16.4074
392,15.8519
393,15.0000
394,14.1481
395,13.0370
396,11.2593
397,9.7407
398,8.4444
399,7.2222
400,5.8889
401,4.5926
402,3.9259
403,3.0741
404,1.8148
405,1.7778
406,2.1481
407,2.3704
408,2.5185
409,2.7407
410,2.9259
411,3.0000
412,2.1111
413,2.1111
414,2.0741
415,2.0000
416,2.0000
417,2.0000
418,2.0000
419,2.0000
420,1.7407
421,1.7407
422,1.7407
423,1.7407
424,1.7407
